ID,RER
Q94497,0.022
Q9GPM4,0.022
Q9GS21,0.022
B0G172,0.023
O96623,0.023
P14794,0.023
P36415,0.023
P54632,0.023
Q27562,0.023
Q54CY3,0.023
Q54DA9,0.023
Q54DU2,0.023
Q54EF9,0.023
Q54ER1,0.023
Q54F90,0.023
Q54FR0,0.023
Q54I85,0.023
Q54IS1,0.023
Q54K67,0.023
Q54LY3,0.023
Q54MG7,0.023
Q54MM9,0.023
Q54PT7,0.023
Q54PV7,0.023
Q54Q07,0.023
Q54QN6,0.023
Q54S90,0.023
Q54SU6,0.023
Q54SZ5,0.023
Q54TI4,0.023
Q54U07,0.023
Q54VM2,0.023
Q54VR1,0.023
Q54W07,0.023
Q54WI4,0.023
Q54WI8,0.023
Q54WS7,0.023
Q54YQ9,0.023
Q54ZT0,0.023
Q550A8,0.023
Q550R2,0.023
Q55D17,0.023
Q55F85,0.023
Q55G10,0.023
Q65YR8,0.023
Q6RYT0,0.023
Q6TMK3,0.023
Q75K16,0.023
Q869Z5,0.023
Q86B09,0.023
Q86CR9,0.023
Q86HB8,0.023
Q86HW7,0.023
Q86IF6,0.023
Q8T293,0.023
Q9U9A3,0.023
B0G106,0.024
P14325,0.024
P90532,0.024
Q03409,0.024
Q1ZXG4,0.024
Q54BS2,0.024
Q54CI8,0.024
Q54EF2,0.024
Q54GP0,0.024
Q54GP1,0.024
Q54JE8,0.024
Q54L70,0.024
Q54MM6,0.024
Q54MQ7,0.024
Q54Q68,0.024
Q54RL3,0.024
Q54RN3,0.024
Q54SV3,0.024
Q54T94,0.024
Q54TR8,0.024
Q54TW3,0.024
Q54UJ7,0.024
Q54VL5,0.024
Q54YD2,0.024
Q54Z69,0.024
Q554D9,0.024
Q556R9,0.024
Q558X5,0.024
Q55BV5,0.024
Q55C21,0.024
Q55C72,0.024
Q55D87,0.024
Q55DY7,0.024
Q55EJ0,0.024
Q55G28,0.024
Q86IV4,0.024
Q86J12,0.024
Q86JG3,0.024
Q86JG4,0.024
Q86KD1,0.024
Q86L14,0.024
Q8TA03,0.024
Q9XZE5,0.024
P21900,0.025
P42528,0.025
Q54CI6,0.025
Q54CX7,0.025
Q54DZ8,0.025
Q54E36,0.025
Q54E83,0.025
Q54GK6,0.025
Q54HL6,0.025
Q54HW8,0.025
Q54I41,0.025
Q54IS3,0.025
Q54JM5,0.025
Q54L40,0.025
Q54NY7,0.025
Q54T48,0.025
Q54UH8,0.025
Q54VI3,0.025
Q54X51,0.025
Q54XE5,0.025
Q54XE7,0.025
Q54YZ0,0.025
Q551D4,0.025
Q552S7,0.025
Q553W9,0.025
Q55BH4,0.025
Q55C09,0.025
Q55CP6,0.025
Q55D50,0.025
Q55DB4,0.025
Q55E81,0.025
Q55ED0,0.025
Q55FA6,0.025
Q55GV5,0.025
Q58A40,0.025
Q7KWQ2,0.025
Q86AQ3,0.025
Q86IK2,0.025
Q86IW0,0.025
Q86J04,0.025
C7FZY2,0.026
C7G046,0.026
P14327,0.026
P20054,0.026
P26200,0.026
P42521,0.026
Q54BB6,0.026
Q54CF7,0.026
Q54E53,0.026
Q54EI4,0.026
Q54F39,0.026
Q54FW2,0.026
Q54GR2,0.026
Q54GT6,0.026
Q54J23,0.026
Q54K00,0.026
Q54KI0,0.026
Q54LN9,0.026
Q54LY4,0.026
Q54MI6,0.026
Q54PH8,0.026
Q54R13,0.026
Q54RR8,0.026
Q54RT9,0.026
Q54S92,0.026
Q54VI4,0.026
Q54VT9,0.026
Q54XF3,0.026
Q54YE7,0.026
Q54YS0,0.026
Q550I1,0.026
Q553C7,0.026
Q556N5,0.026
Q55BC4,0.026
Q55BD4,0.026
Q55CT2,0.026
Q55CW5,0.026
Q55DZ8,0.026
Q55FT1,0.026
Q86H45,0.026
O96621,0.027
P14330,0.027
P34101,0.027
P34113,0.027
P42520,0.027
P54639,0.027
Q54BG2,0.027
Q54BI8,0.027
Q54BL8,0.027
Q54D80,0.027
Q54DD6,0.027
Q54DN5,0.027
Q54ER7,0.027
Q54J13,0.027
Q54J47,0.027
Q54JB0,0.027
Q54JS9,0.027
Q54MX6,0.027
Q54N17,0.027
Q54NW6,0.027
Q54PJ6,0.027
Q54PN7,0.027
Q54PV8,0.027
Q54QQ0,0.027
Q54QS2,0.027
Q54QX3,0.027
Q54R90,0.027
Q54RD5,0.027
Q54TD3,0.027
Q54UC5,0.027
Q54UG3,0.027
Q54UI8,0.027
Q54UJ0,0.027
Q54VC6,0.027
Q54WW4,0.027
Q54X06,0.027
Q54XM7,0.027
Q54YF1,0.027
Q54YF8,0.027
Q55AB5,0.027
Q55BE6,0.027
Q55C82,0.027
Q55CF8,0.027
Q55DQ4,0.027
Q55GJ6,0.027
Q5XM24,0.027
Q75JG8,0.027
Q86AX3,0.027
Q86J17,0.027
Q86JH5,0.027
Q86KL9,0.027
Q94490,0.027
P02599,0.028
P10733,0.028
P14132,0.028
P16168,0.028
P27133,0.028
Q1ZXG8,0.028
Q54EP8,0.028
Q54ES3,0.028
Q54ES9,0.028
Q54FK1,0.028
Q54G47,0.028
Q54G61,0.028
Q54HC2,0.028
Q54HD4,0.028
Q54HG2,0.028
Q54IF5,0.028
Q54II8,0.028
Q54IN4,0.028
Q54MJ2,0.028
Q54NQ0,0.028
Q54P82,0.028
Q54PC2,0.028
Q54PC6,0.028
Q54QE4,0.028
Q54TI6,0.028
Q54TL8,0.028
Q54TS3,0.028
Q54VG4,0.028
Q54W38,0.028
Q54WD2,0.028
Q54X65,0.028
Q54X95,0.028
Q54Y28,0.028
Q54Z09,0.028
Q551I8,0.028
Q553M7,0.028
Q555E5,0.028
Q556S7,0.028
Q559N8,0.028
Q55BM4,0.028
Q55BN7,0.028
Q55CR9,0.028
Q55CS2,0.028
Q55DB6,0.028
Q55FE0,0.028
Q55GS5,0.028
Q7KWL4,0.028
Q869X1,0.028
Q86AH5,0.028
Q86AV6,0.028
Q86IJ1,0.028
Q8T8M2,0.028
Q95UC5,0.028
Q9NH02,0.028
Q9Y0B7,0.028
B0G0Z0,0.029
B0G124,0.029
P11872,0.029
P46794,0.029
P51405,0.029
Q54DP1,0.029
Q54FB4,0.029
Q54G99,0.029
Q54IK9,0.029
Q54JH2,0.029
Q54KV5,0.029
Q54L12,0.029
Q54LV1,0.029
Q54M16,0.029
Q54M70,0.029
Q54ND1,0.029
Q54ND4,0.029
Q54NL3,0.029
Q54Q03,0.029
Q54Q61,0.029
Q54QD9,0.029
Q54R56,0.029
Q54RD6,0.029
Q54RH6,0.029
Q54RI2,0.029
Q54RM1,0.029
Q54RW5,0.029
Q54TL3,0.029
Q54UU3,0.029
Q54UZ4,0.029
Q54V55,0.029
Q54VI5,0.029
Q54VX7,0.029
Q54XH6,0.029
Q557J6,0.029
Q55AH5,0.029
Q55CC9,0.029
Q55CV0,0.029
Q55CX9,0.029
Q55GU2,0.029
Q75JM6,0.029
Q7Z203,0.029
Q86A92,0.029
Q86HV6,0.029
Q86I29,0.029
Q86I82,0.029
Q86IV7,0.029
Q86K69,0.029
Q86L26,0.029
Q8T2U3,0.029
Q8T849,0.029
C7FZZ5,0.03
C7G023,0.03
P20425,0.03
P22887,0.03
P34124,0.03
Q3ZE13,0.03
Q54D73,0.03
Q54EW2,0.03
Q54F74,0.03
Q54F82,0.03
Q54FM3,0.03
Q54GN5,0.03
Q54J69,0.03
Q54K32,0.03
Q54K39,0.03
Q54K46,0.03
Q54K95,0.03
Q54LX4,0.03
Q54MA6,0.03
Q54N35,0.03
Q54PG1,0.03
Q54PK7,0.03
Q54Q83,0.03
Q54R55,0.03
Q54RF3,0.03
Q54S02,0.03
Q54TF6,0.03
Q54TS5,0.03
Q54WP6,0.03
Q54X87,0.03
Q54XS1,0.03
Q54XT5,0.03
Q54Y40,0.03
Q54ZI7,0.03
Q552E2,0.03
Q552J0,0.03
Q553T6,0.03
Q555X7,0.03
Q556G1,0.03
Q556K1,0.03
Q55BJ6,0.03
Q55BN3,0.03
Q55CQ5,0.03
Q55CQ7,0.03
Q55CT5,0.03
Q55F77,0.03
Q55F79,0.03
Q869W9,0.03
Q86A85,0.03
Q86CR8,0.03
Q86IZ4,0.03
Q86L27,0.03
Q8T1G5,0.03
O00780,0.031
O15818,0.031
P08799,0.031
P48160,0.031
P54648,0.031
P54703,0.031
Q1ZXD5,0.031
Q1ZXH5,0.031
Q54BP5,0.031
Q54CB5,0.031
Q54CR6,0.031
Q54CR8,0.031
Q54DS8,0.031
Q54E45,0.031
Q54F41,0.031
Q54FA0,0.031
Q54FY2,0.031
Q54G44,0.031
Q54GQ2,0.031
Q54IF7,0.031
Q54IU3,0.031
Q54J10,0.031
Q54JL8,0.031
Q54LW6,0.031
Q54MT4,0.031
Q54PF3,0.031
Q54QA3,0.031
Q54R91,0.031
Q54SN5,0.031
Q54TQ8,0.031
Q54UX0,0.031
Q54V72,0.031
Q54VL9,0.031
Q54XG5,0.031
Q54Y09,0.031
Q54YE9,0.031
Q54Z13,0.031
Q54ZP3,0.031
Q54ZS5,0.031
Q54ZW5,0.031
Q552L7,0.031
Q554J3,0.031
Q556D1,0.031
Q559E5,0.031
Q55CJ6,0.031
Q55GV3,0.031
Q5TJ65,0.031
Q7KWK5,0.031
Q86KK2,0.031
Q86KQ6,0.031
Q8I7P3,0.031
Q8MML6,0.031
P14329,0.032
P90526,0.032
Q54BN4,0.032
Q54BQ3,0.032
Q54CH2,0.032
Q54CJ8,0.032
Q54CT3,0.032
Q54DM7,0.032
Q54E24,0.032
Q54FG5,0.032
Q54FX0,0.032
Q54FX9,0.032
Q54JX0,0.032
Q54KT7,0.032
Q54L19,0.032
Q54MZ5,0.032
Q54N39,0.032
Q54NF8,0.032
Q54NI9,0.032
Q54PA8,0.032
Q54PA9,0.032
Q54PM7,0.032
Q54QR9,0.032
Q54RC0,0.032
Q54RF4,0.032
Q54RS3,0.032
Q54S85,0.032
Q54SB4,0.032
Q54TJ7,0.032
Q54VZ4,0.032
Q54Y41,0.032
Q54YN2,0.032
Q54ZD1,0.032
Q550Z8,0.032
Q553N8,0.032
Q557E0,0.032
Q55B94,0.032
Q55BB0,0.032
Q55D33,0.032
Q55DC0,0.032
Q55GN3,0.032
Q71A38,0.032
Q7KWU6,0.032
Q86AP7,0.032
Q86HD1,0.032
Q86K01,0.032
Q86L45,0.032
O44007,0.033
Q23919,0.033
Q54C02,0.033
Q54CC7,0.033
Q54EW3,0.033
Q54EZ0,0.033
Q54GD3,0.033
Q54GR3,0.033
Q54I40,0.033
Q54IJ3,0.033
Q54J70,0.033
Q54NK8,0.033
Q54QH4,0.033
Q54QR4,0.033
Q54S89,0.033
Q54SM3,0.033
Q54ZV8,0.033
Q551A1,0.033
Q554H5,0.033
Q559F4,0.033
Q55C81,0.033
Q55GC4,0.033
Q55GQ6,0.033
Q76NU7,0.033
Q86IE7,0.033
Q86JJ0,0.033
Q8MUF9,0.033
Q8T2A7,0.033
C7G014,0.034
P09402,0.034
P13023,0.034
Q23917,0.034
Q54BK2,0.034
Q54CB1,0.034
Q54CW1,0.034
Q54EH1,0.034
Q54EU3,0.034
Q54G80,0.034
Q54GC8,0.034
Q54GP8,0.034
Q54IR0,0.034
Q54J22,0.034
Q54JC6,0.034
Q54KI3,0.034
Q54KI4,0.034
Q54KV3,0.034
Q54L65,0.034
Q54LA0,0.034
Q54NG2,0.034
Q54P12,0.034
Q54PF9,0.034
Q54Q82,0.034
Q54QF3,0.034
Q54RN2,0.034
Q54SX6,0.034
Q54T61,0.034
Q54VG2,0.034
Q54XI5,0.034
Q54XR2,0.034
Q54XX3,0.034
Q54Y98,0.034
Q54Z60,0.034
Q54ZS3,0.034
Q550F6,0.034
Q556G2,0.034
Q556Y1,0.034
Q557C7,0.034
Q557J8,0.034
Q55B10,0.034
Q55CA0,0.034
Q55DA3,0.034
Q55EG0,0.034
Q6UK63,0.034
Q75JH9,0.034
Q75JS7,0.034
Q869N9,0.034
Q86AD7,0.034
Q86KF5,0.034
Q8MLZ3,0.034
P11874,0.035
Q1ZXE8,0.035
Q54C42,0.035
Q54DB2,0.035
Q54E37,0.035
Q54EN8,0.035
Q54EV3,0.035
Q54FR8,0.035
Q54FT2,0.035
Q54GS9,0.035
Q54HT4,0.035
Q54KY8,0.035
Q54LF7,0.035
Q54MB4,0.035
Q54N49,0.035
Q54NH4,0.035
Q54PJ5,0.035
Q54PS4,0.035
Q54PY1,0.035
Q54QL3,0.035
Q54QM8,0.035
Q54RN9,0.035
Q54SA0,0.035
Q54WT5,0.035
Q54WU6,0.035
Q54ZE3,0.035
Q54ZI6,0.035
Q556V7,0.035
Q557D6,0.035
Q557E4,0.035
Q55A45,0.035
Q55AQ9,0.035
Q55CB2,0.035
Q55DS6,0.035
Q55EC6,0.035
Q55EE0,0.035
Q55EU7,0.035
Q55FK4,0.035
Q55FM7,0.035
Q55G99,0.035
Q55GT4,0.035
Q7M438,0.035
Q869N7,0.035
Q86AA1,0.035
Q86HL1,0.035
C7G074,0.036
P0CC06,0.036
P27685,0.036
P90521,0.036
Q54BZ9,0.036
Q54CU6,0.036
Q54DA5,0.036
Q54EP4,0.036
Q54FQ8,0.036
Q54GY0,0.036
Q54HN9,0.036
Q54I75,0.036
Q54IB5,0.036
Q54IQ3,0.036
Q54IV5,0.036
Q54J50,0.036
Q54J53,0.036
Q54K41,0.036
Q54ML1,0.036
Q54NF2,0.036
Q54NU9,0.036
Q54PX9,0.036
Q54Q39,0.036
Q54Q48,0.036
Q54QV1,0.036
Q54SC9,0.036
Q54UR0,0.036
Q54X50,0.036
Q54XF7,0.036
Q54YS6,0.036
Q54YT1,0.036
Q54YX5,0.036
Q55A19,0.036
Q55CE9,0.036
Q55D51,0.036
Q55DZ1,0.036
Q55G30,0.036
Q55GG3,0.036
Q76NX0,0.036
Q7KWL8,0.036
Q869Q3,0.036
Q869Q8,0.036
Q869U7,0.036
Q86K41,0.036
Q86KU6,0.036
Q86L23,0.036
Q86LA4,0.036
Q8T1E3,0.036
Q8T1V4,0.036
Q9BIW4,0.036
P14326,0.037
P14797,0.037
P46800,0.037
P54659,0.037
Q23892,0.037
Q54C12,0.037
Q54C24,0.037
Q54CU8,0.037
Q54DR0,0.037
Q54DW0,0.037
Q54EJ4,0.037
Q54EP5,0.037
Q54EP7,0.037
Q54HW3,0.037
Q54I62,0.037
Q54I80,0.037
Q54I97,0.037
Q54JV5,0.037
Q54KF0,0.037
Q54L35,0.037
Q54L37,0.037
Q54MA5,0.037
Q54ML6,0.037
Q54NW3,0.037
Q54PQ8,0.037
Q54RH9,0.037
Q54RI9,0.037
Q54RJ2,0.037
Q54S04,0.037
Q54SD4,0.037
Q54SH1,0.037
Q54T59,0.037
Q54TC4,0.037
Q54TC6,0.037
Q54TQ2,0.037
Q54UJ1,0.037
Q54VT7,0.037
Q54WU2,0.037
Q54YY7,0.037
Q54Z24,0.037
Q552Y8,0.037
Q555H5,0.037
Q55B20,0.037
Q55BH2,0.037
Q55BR0,0.037
Q55DB8,0.037
Q55DH6,0.037
Q55DS4,0.037
Q55FF1,0.037
Q55G71,0.037
Q55GR8,0.037
Q6DN52,0.037
Q75JF5,0.037
Q7YXU4,0.037
Q86AS5,0.037
Q86HG0,0.037
C7G000,0.038
C7G068,0.038
P52285,0.038
Q54C92,0.038
Q54DI2,0.038
Q54EH6,0.038
Q54ET9,0.038
Q54EV5,0.038
Q54F51,0.038
Q54FR1,0.038
Q54J08,0.038
Q54JI8,0.038
Q54K53,0.038
Q54PU9,0.038
Q54Q25,0.038
Q54Q34,0.038
Q54RY8,0.038
Q54S82,0.038
Q54VF3,0.038
Q54VI2,0.038
Q54VQ9,0.038
Q54WN0,0.038
Q54WP9,0.038
Q54X96,0.038
Q54Z72,0.038
Q552E3,0.038
Q553R3,0.038
Q556Q1,0.038
Q55A48,0.038
Q55BE3,0.038
Q55BJ2,0.038
Q55BS9,0.038
Q55BX1,0.038
Q55CF6,0.038
Q55D56,0.038
Q55DB1,0.038
Q55FK9,0.038
Q86JA1,0.038
Q86KF9,0.038
Q8T294,0.038
Q95YH0,0.038
C7G005,0.039
P13833,0.039
P15112,0.039
P25323,0.039
P34109,0.039
P54647,0.039
P90529,0.039
Q54B43,0.039
Q54BH5,0.039
Q54BK1,0.039
Q54D13,0.039
Q54FJ9,0.039
Q54GD0,0.039
Q54HD0,0.039
Q54HN4,0.039
Q54I94,0.039
Q54J26,0.039
Q54JJ7,0.039
Q54JL5,0.039
Q54KS8,0.039
Q54LU5,0.039
Q54LX5,0.039
Q54LZ4,0.039
Q54MH2,0.039
Q54MK8,0.039
Q54N29,0.039
Q54N45,0.039
Q54NH0,0.039
Q54P24,0.039
Q54PS8,0.039
Q54Q99,0.039
Q54QZ5,0.039
Q54R74,0.039
Q54TR1,0.039
Q54UG4,0.039
Q54UP5,0.039
Q54WH0,0.039
Q54WV4,0.039
Q54XP2,0.039
Q54YA3,0.039
Q54YR7,0.039
Q550K0,0.039
Q550U9,0.039
Q553Z8,0.039
Q556H9,0.039
Q557B6,0.039
Q55B11,0.039
Q55B86,0.039
Q55BA2,0.039
Q55BZ4,0.039
Q55DE9,0.039
Q55F07,0.039
Q55FK1,0.039
Q55G87,0.039
Q55GD0,0.039
Q55GP3,0.039
Q55GR5,0.039
Q75K24,0.039
Q76NU3,0.039
Q86A78,0.039
Q86J03,0.039
Q8SSN5,0.039
P13723,0.04
P24005,0.04
Q1ZXE2,0.04
Q54BI5,0.04
Q54BL7,0.04
Q54EY2,0.04
Q54FJ5,0.04
Q54GN9,0.04
Q54JG6,0.04
Q54K57,0.04
Q54K76,0.04
Q54KM0,0.04
Q54KR9,0.04
Q54MS1,0.04
Q54NF1,0.04
Q54NU0,0.04
Q54PS7,0.04
Q54QC3,0.04
Q54RX1,0.04
Q54TA6,0.04
Q54UM1,0.04
Q54VA8,0.04
Q54VD6,0.04
Q54VT1,0.04
Q54WE3,0.04
Q54WI0,0.04
Q54WL9,0.04
Q54WM0,0.04
Q54ZS8,0.04
Q551R4,0.04
Q553Q9,0.04
Q553X7,0.04
Q55A74,0.04
Q55BC6,0.04
Q55DL2,0.04
Q55ET7,0.04
Q55GQ5,0.04
Q869L6,0.04
Q86JE1,0.04
Q8T6B4,0.04
Q8T8P2,0.04
C7G034,0.041
O15746,0.041
P34098,0.041
P34102,0.041
P34138,0.041
P34150,0.041
Q23924,0.041
Q54D06,0.041
Q54DP0,0.041
Q54KZ2,0.041
Q54MA4,0.041
Q54P29,0.041
Q54QG5,0.041
Q54R15,0.041
Q54R88,0.041
Q54SD3,0.041
Q54X83,0.041
Q54X84,0.041
Q54XS0,0.041
Q553T4,0.041
Q554G7,0.041
Q555K4,0.041
Q556J8,0.041
Q556Y2,0.041
Q559W7,0.041
Q55C63,0.041
Q55D63,0.041
Q55DB7,0.041
Q55F84,0.041
Q55F94,0.041
Q55G89,0.041
Q75K27,0.041
Q7YSW8,0.041
Q86A77,0.041
Q86AS1,0.041
Q86AW9,0.041
Q86IZ8,0.041
Q86K42,0.041
P0CT31,0.042
P34122,0.042
Q54BU3,0.042
Q54BW5,0.042
Q54C05,0.042
Q54E29,0.042
Q54H27,0.042
Q54J74,0.042
Q54J82,0.042
Q54JI0,0.042
Q54JK8,0.042
Q54K18,0.042
Q54K20,0.042
Q54K81,0.042
Q54LY5,0.042
Q54N50,0.042
Q54NB3,0.042
Q54PZ2,0.042
Q54QU9,0.042
Q54R48,0.042
Q54RI8,0.042
Q54SH6,0.042
Q54SI2,0.042
Q54U46,0.042
Q54U83,0.042
Q54UC9,0.042
Q54WT9,0.042
Q54XD8,0.042
Q54Y67,0.042
Q54YG3,0.042
Q553C3,0.042
Q553P2,0.042
Q555L8,0.042
Q55AR8,0.042
Q55BM6,0.042
Q55BY1,0.042
Q55C41,0.042
Q55D66,0.042
Q55E13,0.042
Q55E54,0.042
Q55E68,0.042
Q55GC9,0.042
Q7Z2B8,0.042
Q86A05,0.042
Q86A14,0.042
Q86A97,0.042
Q86I34,0.042
Q8I0F4,0.042
Q8T199,0.042
P34092,0.043
P46793,0.043
Q54BU8,0.043
Q54C74,0.043
Q54DZ0,0.043
Q54HG6,0.043
